symbol,exchange,ngành
DP3,HNX,Health Care
DS3,HNX,Industrial Goods & Services
DST,HNX,Media
DTD,HNX,Bất động sản
DTG,HNX,Health Care
DTK,HNX,"Điện, nước & xăng dầu khí đốt"
DVM,HNX,Health Care
DXP,HNX,Industrial Goods & Services
EBS,HNX,Media
ECI,HNX,Media
EID,HNX,Media
EVS,HNX,Financial Services
FID,HNX,Construction & Materials
GDW,HNX,"Điện, nước & xăng dầu khí đốt"
GIC,HNX,Industrial Goods & Services
GKM,HNX,Construction & Materials
GLT,HNX,Personal & Household Goods
GMA,HNX,Automobiles & Parts
GMX,HNX,Construction & Materials
HAD,HNX,Thực phẩm & Đồ uống
HAT,HNX,Thực phẩm & Đồ uống
HBS,HNX,Financial Services
HCC,HNX,Construction & Materials
HCT,HNX,Industrial Goods & Services
HDA,HNX,Construction & Materials
HEV,HNX,Media
HGM,HNX,Basic Resources
HHC,HNX,Thực phẩm & Đồ uống
HJS,HNX,"Điện, nước & xăng dầu khí đốt"
HKT,HNX,Thực phẩm & Đồ uống
HLC,HNX,Basic Resources
HLD,HNX,Bất động sản
HMH,HNX,Industrial Goods & Services
HMR,HNX,Construction & Materials
HOM,HNX,Construction & Materials
HTC,HNX,"Điện, nước & xăng dầu khí đốt"
HUT,HNX,Automobiles & Parts
HVT,HNX,Hóa chất
ICG,HNX,Construction & Materials
IDC,HNX,Bất động sản
IDJ,HNX,Bất động sản
IDV,HNX,Bất động sản
INC,HNX,Construction & Materials
INN,HNX,Industrial Goods & Services
IPA,HNX,Industrial Goods & Services
ITQ,HNX,Basic Resources
IVS,HNX,Financial Services
KDM,HNX,Construction & Materials
KHS,HNX,Thực phẩm & Đồ uống
KKC,HNX,Basic Resources
KMT,HNX,Basic Resources
KSD,HNX,Personal & Household Goods
KSF,HNX,Bất động sản
KSQ,HNX,Construction & Materials
KST,HNX,Công nghệ
KSV,HNX,Basic Resources
KTS,HNX,Thực phẩm & Đồ uống
L14,HNX,Construction & Materials
L18,HNX,Construction & Materials
L40,HNX,Construction & Materials
LAS,HNX,Hóa chất
LBE,HNX,Media
LCD,HNX,Construction & Materials
LDP,HNX,Health Care
LHC,HNX,Construction & Materials
LIG,HNX,Construction & Materials
MAC,HNX,Industrial Goods & Services
MAS,HNX,Travel & Leisure
MBG,HNX,Construction & Materials
MBS,HNX,Financial Services
MCC,HNX,Construction & Materials
MCF,HNX,Thực phẩm & Đồ uống
MCO,HNX,Construction & Materials
MDC,HNX,Basic Resources
MED,HNX,Health Care
MEL,HNX,Basic Resources
MIC,HNX,Basic Resources
MKV,HNX,Health Care
MST,HNX,Construction & Materials
MVB,HNX,Basic Resources
NAG,HNX,Industrial Goods & Services
NAP,HNX,Industrial Goods & Services
NBC,HNX,Basic Resources
NBP,HNX,"Điện, nước & xăng dầu khí đốt"
NBW,HNX,"Điện, nước & xăng dầu khí đốt"
NDN,HNX,Bất động sản
NDX,HNX,Construction & Materials
NET,HNX,Personal & Household Goods
NFC,HNX,Hóa chất
NHC,HNX,Construction & Materials
NRC,HNX,Bất động sản
NSH,HNX,Basic Resources
NST,HNX,Personal & Household Goods
NTH,HNX,"Điện, nước & xăng dầu khí đốt"
NTP,HNX,Construction & Materials
NVB,HNX,Banks
OCH,HNX,Thực phẩm & Đồ uống
ONE,HNX,Công nghệ
PBP,HNX,Industrial Goods & Services
PCE,HNX,Hóa chất
PCG,HNX,"Điện, nước & xăng dầu khí đốt"
PCH,HNX,Hóa chất
PCT,HNX,Industrial Goods & Services
PDB,HNX,Construction & Materials
PEN,HNX,Construction & Materials
PGN,HNX,Hóa chất
PGS,HNX,"Điện, nước & xăng dầu khí đốt"
PGT,HNX,Travel & Leisure
PHN,HNX,Industrial Goods & Services
PIA,HNX,Telecommunications
PIC,HNX,"Điện, nước & xăng dầu khí đốt"
PJC,HNX,"Điện, nước & xăng dầu khí đốt"
PLC,HNX,Hóa chất
PMB,HNX,Hóa chất
PMC,HNX,Health Care
PMP,HNX,Industrial Goods & Services
PMS,HNX,Industrial Goods & Services
POT,HNX,Công nghệ
PPE,HNX,Industrial Goods & Services
PPP,HNX,Health Care
PPS,HNX,Industrial Goods & Services
PPT,HNX,"Điện, nước & xăng dầu khí đốt"
PPY,HNX,"Điện, nước & xăng dầu khí đốt"
PRC,HNX,Industrial Goods & Services
PRE,HNX,Bảo hiểm
PSC,HNX,Industrial Goods & Services
PSD,HNX,Bán lẻ
PSE,HNX,Hóa chất
PSI,HNX,Financial Services
PSW,HNX,Hóa chất
PTD,HNX,Construction & Materials
PTI,HNX,Bảo hiểm
PTS,HNX,Industrial Goods & Services
PTX,HNX,"Điện, nước & xăng dầu khí đốt"
PV2,HNX,Bất động sản
PVB,HNX,Dầu khí
PVC,HNX,Dầu khí
PVG,HNX,"Điện, nước & xăng dầu khí đốt"
PVI,HNX,Bảo hiểm
PVS,HNX,Dầu khí
QHD,HNX,Industrial Goods & Services
QST,HNX,Media
QTC,HNX,Construction & Materials
RCL,HNX,Bất động sản
S55,HNX,Construction & Materials
S99,HNX,Construction & Materials
SAF,HNX,Thực phẩm & Đồ uống
SCG,HNX,Construction & Materials
SCI,HNX,Construction & Materials
SD5,HNX,Construction & Materials
SD9,HNX,Construction & Materials
SDA,HNX,Industrial Goods & Services
SDC,HNX,Industrial Goods & Services
SDG,HNX,Industrial Goods & Services
SDN,HNX,Construction & Materials
SDU,HNX,Construction & Materials
SEB,HNX,"Điện, nước & xăng dầu khí đốt"
SED,HNX,Media
SFN,HNX,Industrial Goods & Services
SGC,HNX,Thực phẩm & Đồ uống
SGD,HNX,Media
SGH,HNX,Travel & Leisure
SHE,HNX,Personal & Household Goods
SHN,HNX,Basic Resources
SHS,HNX,Financial Services
SJ1,HNX,Thực phẩm & Đồ uống
SJE,HNX,Construction & Materials
SLS,HNX,Thực phẩm & Đồ uống
SMN,HNX,Media
SMT,HNX,Công nghệ
SPC,HNX,Hóa chất
SPI,HNX,Basic Resources
SRA,HNX,Công nghệ
SSM,HNX,Basic Resources
STC,HNX,Media
STP,HNX,Industrial Goods & Services
SVN,HNX,Construction & Materials
SZB,HNX,Bất động sản
TA9,HNX,Construction & Materials
TBX,HNX,Construction & Materials
TDT,HNX,Personal & Household Goods
TET,HNX,Personal & Household Goods
TFC,HNX,Thực phẩm & Đồ uống
THB,HNX,Thực phẩm & Đồ uống
THD,HNX,Bất động sản
THS,HNX,Bán lẻ
THT,HNX,Basic Resources
TIG,HNX,Bất động sản
TJC,HNX,Industrial Goods & Services
TKU,HNX,Basic Resources
TMB,HNX,Basic Resources
TMC,HNX,"Điện, nước & xăng dầu khí đốt"
TMX,HNX,Construction & Materials
TNG,HNX,
TOT,HNX,Industrial Goods & Services
TPH,HNX,Media
TPP,HNX,Industrial Goods & Services
TSB,HNX,Industrial Goods & Services
TTC,HNX,Construction & Materials
TTH,HNX,Basic Resources
TTL,HNX,Construction & Materials
TTT,HNX,Travel & Leisure
TV3,HNX,Construction & Materials
TV4,HNX,Industrial Goods & Services
