symbol,exchange,ngành
TQN,UPCOM,Basic Resources
TQW,UPCOM,"Điện, nước & xăng dầu khí đốt"
TR1,UPCOM,Industrial Goods & Services
TRS,UPCOM,Industrial Goods & Services
TRT,UPCOM,Construction & Materials
TS3,UPCOM,Construction & Materials
TS4,UPCOM,Thực phẩm & Đồ uống
TSA,UPCOM,Construction & Materials
TSD,UPCOM,Travel & Leisure
TSG,UPCOM,Industrial Goods & Services
TSJ,UPCOM,Travel & Leisure
TST,UPCOM,Công nghệ
TT6,UPCOM,Thực phẩm & Đồ uống
TTB,UPCOM,Construction & Materials
TTD,UPCOM,Health Care
TTG,UPCOM,Personal & Household Goods
TTN,UPCOM,Telecommunications
TTS,UPCOM,Basic Resources
TTZ,UPCOM,Construction & Materials
TUG,UPCOM,Industrial Goods & Services
TV1,UPCOM,Industrial Goods & Services
TV6,UPCOM,Bán lẻ
TVA,UPCOM,Construction & Materials
TVG,UPCOM,Construction & Materials
TVH,UPCOM,Construction & Materials
TVM,UPCOM,Industrial Goods & Services
TVN,UPCOM,Basic Resources
TW3,UPCOM,Health Care
UCT,UPCOM,Industrial Goods & Services
UDC,UPCOM,Construction & Materials
UDJ,UPCOM,Construction & Materials
UDL,UPCOM,Industrial Goods & Services
UEM,UPCOM,Industrial Goods & Services
UMC,UPCOM,Construction & Materials
UPC,UPCOM,"Điện, nước & xăng dầu khí đốt"
UPH,UPCOM,Health Care
USC,UPCOM,Construction & Materials
USD,UPCOM,Industrial Goods & Services
UXC,UPCOM,Thực phẩm & Đồ uống
V15,UPCOM,Construction & Materials
VAB,UPCOM,Banks
VAV,UPCOM,"Điện, nước & xăng dầu khí đốt"
VBB,UPCOM,Banks
VBG,UPCOM,Basic Resources
VBH,UPCOM,Industrial Goods & Services
VC5,UPCOM,Construction & Materials
VCE,UPCOM,Construction & Materials
VCP,UPCOM,"Điện, nước & xăng dầu khí đốt"
VCR,UPCOM,Bất động sản
VCT,UPCOM,Industrial Goods & Services
VCW,UPCOM,"Điện, nước & xăng dầu khí đốt"
VCX,UPCOM,Construction & Materials
VDB,UPCOM,Basic Resources
VDG,UPCOM,Personal & Household Goods
VDN,UPCOM,Personal & Household Goods
VDT,UPCOM,Basic Resources
VE2,UPCOM,Construction & Materials
VE9,UPCOM,Construction & Materials
VEA,UPCOM,Industrial Goods & Services
VEC,UPCOM,Công nghệ
VEF,UPCOM,Bất động sản
VES,UPCOM,Bất động sản
VET,UPCOM,Hóa chất
VFC,UPCOM,Industrial Goods & Services
VFR,UPCOM,Industrial Goods & Services
VGG,UPCOM,Personal & Household Goods
VGI,UPCOM,Telecommunications
VGL,UPCOM,Basic Resources
VGR,UPCOM,Industrial Goods & Services
VGT,UPCOM,Personal & Household Goods
VGV,UPCOM,Bất động sản
VHD,UPCOM,Bất động sản
VHF,UPCOM,Thực phẩm & Đồ uống
VHG,UPCOM,Industrial Goods & Services
VHH,UPCOM,Construction & Materials
VIE,UPCOM,Công nghệ
VIH,UPCOM,Construction & Materials
VIM,UPCOM,Basic Resources
VIN,UPCOM,Industrial Goods & Services
VIR,UPCOM,Travel & Leisure
VIW,UPCOM,Construction & Materials
VKC,UPCOM,Automobiles & Parts
VKP,UPCOM,Hóa chất
VLB,UPCOM,Construction & Materials
VLC,UPCOM,Thực phẩm & Đồ uống
VLF,UPCOM,Thực phẩm & Đồ uống
VLG,UPCOM,Industrial Goods & Services
VLP,UPCOM,Industrial Goods & Services
VLW,UPCOM,"Điện, nước & xăng dầu khí đốt"
VMA,UPCOM,Automobiles & Parts
VMG,UPCOM,"Điện, nước & xăng dầu khí đốt"
VMK,UPCOM,Construction & Materials
VMT,UPCOM,Industrial Goods & Services
VNA,UPCOM,Industrial Goods & Services
VNB,UPCOM,Media
VNH,UPCOM,Thực phẩm & Đồ uống
VNI,UPCOM,Bất động sản
VNP,UPCOM,Hóa chất
VNX,UPCOM,Media
VNY,UPCOM,Hóa chất
VNZ,UPCOM,Media
VOC,UPCOM,Thực phẩm & Đồ uống
VPA,UPCOM,Industrial Goods & Services
VPC,UPCOM,Construction & Materials
VPR,UPCOM,Media
VPW,UPCOM,"Điện, nước & xăng dầu khí đốt"
VQC,UPCOM,Industrial Goods & Services
VRG,UPCOM,Bất động sản
VSE,UPCOM,Industrial Goods & Services
VSF,UPCOM,Thực phẩm & Đồ uống
VSG,UPCOM,Industrial Goods & Services
VSN,UPCOM,Thực phẩm & Đồ uống
VST,UPCOM,Industrial Goods & Services
VTA,UPCOM,Construction & Materials
VTD,UPCOM,Travel & Leisure
VTE,UPCOM,Công nghệ
VTG,UPCOM,Travel & Leisure
VTI,UPCOM,Personal & Household Goods
VTK,UPCOM,Industrial Goods & Services
VTL,UPCOM,Thực phẩm & Đồ uống
VTM,UPCOM,Travel & Leisure
VTQ,UPCOM,Hóa chất
VTR,UPCOM,Travel & Leisure
VTS,UPCOM,Construction & Materials
VTX,UPCOM,Industrial Goods & Services
VUA,UPCOM,Financial Services
VVN,UPCOM,Construction & Materials
VVS,UPCOM,Automobiles & Parts
VW3,UPCOM,Construction & Materials
VWS,UPCOM,"Điện, nước & xăng dầu khí đốt"
VXB,UPCOM,Construction & Materials
VXP,UPCOM,Hóa chất
VXT,UPCOM,Industrial Goods & Services
WSB,UPCOM,Thực phẩm & Đồ uống
WTC,UPCOM,Industrial Goods & Services
X26,UPCOM,Personal & Household Goods
X77,UPCOM,Construction & Materials
XDH,UPCOM,Bất động sản
XHC,UPCOM,Personal & Household Goods
XLV,UPCOM,Construction & Materials
XMC,UPCOM,Construction & Materials
XMD,UPCOM,Construction & Materials
XMP,UPCOM,"Điện, nước & xăng dầu khí đốt"
XPH,UPCOM,Personal & Household Goods
YBC,UPCOM,Construction & Materials
YTC,UPCOM,Health Care
